team_name,weather_metric,match_metric,average_weather_metric,average_match_metric,team_average_match_metric,team_average_weather_metric,correlation
Everton,total_rainfall_amount_previous_hour,team_match_directness,0.11250610649731316,0.8533870051767677,0.8421409336842103,0.0692982456140351,-0.08421898127645064
Everton,total_rainfall_amount_previous_hour,team_match_pace_towards_goal,0.11250610649731316,2.711043596569112,3.235526522581276,0.0692982456140351,-0.050770681575915855
Everton,total_rainfall_amount_previous_hour,team_match_gk_pass_distance,0.11250610649731316,43.0381615764974,48.6442197631579,0.0692982456140351,-0.0066702253607944925
Everton,total_rainfall_amount_previous_hour,team_match_gk_long_pass_ratio,0.11250610649731316,0.3935310848294425,0.4450628187046133,0.0692982456140351,0.0069954245255843825
Everton,total_rainfall_amount_previous_hour,team_match_ball_in_play_time,0.11250610649731316,53.375021955403646,54.42063368421053,0.0692982456140351,0.1899222578047461
Everton,total_rainfall_amount_previous_hour,team_match_dribble_ratio,0.11250610649731316,0.5133860948715331,0.5339647671955803,0.0692982456140351,-0.016738808212619465
Everton,total_rainfall_amount_previous_hour,team_match_high_press_shots_conceded,0.11250610649731316,2.6123860677083335,2.5789473684210527,0.0692982456140351,-0.06975943512602063
Everton,total_rainfall_amount_previous_hour,team_match_passing_ratio,0.11250610649731316,0.6136391983608814,0.6849058593516892,0.0692982456140351,-0.10967862876475547
Everton,wind_speed_10m,team_match_directness,4.286630841882429,0.8533870051767677,0.8421409336842103,4.040350877192982,-0.250609466876776
Everton,wind_speed_10m,team_match_pace_towards_goal,4.286630841882429,2.711043596569112,3.235526522581276,4.040350877192982,-0.028458842368317912
Everton,wind_speed_10m,team_match_gk_pass_distance,4.286630841882429,43.0381615764974,48.6442197631579,4.040350877192982,0.07172335597753327
Everton,wind_speed_10m,team_match_gk_long_pass_ratio,4.286630841882429,0.3935310848294425,0.4450628187046133,4.040350877192982,0.2769484881165506
Everton,wind_speed_10m,team_match_ball_in_play_time,4.286630841882429,53.375021955403646,54.42063368421053,4.040350877192982,-0.010065606853861021
Everton,wind_speed_10m,team_match_dribble_ratio,4.286630841882429,0.5133860948715331,0.5339647671955803,4.040350877192982,-0.1545711798371054
Everton,wind_speed_10m,team_match_high_press_shots_conceded,4.286630841882429,2.6123860677083335,2.5789473684210527,4.040350877192982,-0.07540415691318336
Everton,wind_speed_10m,team_match_passing_ratio,4.286630841882429,0.6136391983608814,0.6849058593516892,4.040350877192982,0.02574848191036703
Everton,wind_gust_10m,team_match_directness,8.550284969874614,0.8533870051767677,0.8421409336842103,8.388596491228071,-0.26073331840428177
Everton,wind_gust_10m,team_match_pace_towards_goal,8.550284969874614,2.711043596569112,3.235526522581276,8.388596491228071,-0.03775806285334546
Everton,wind_gust_10m,team_match_gk_pass_distance,8.550284969874614,43.0381615764974,48.6442197631579,8.388596491228071,0.05918644383150958
Everton,wind_gust_10m,team_match_gk_long_pass_ratio,8.550284969874614,0.3935310848294425,0.4450628187046133,8.388596491228071,0.33204375244221535
Everton,wind_gust_10m,team_match_ball_in_play_time,8.550284969874614,53.375021955403646,54.42063368421053,8.388596491228071,0.13704021028164717
Everton,wind_gust_10m,team_match_dribble_ratio,8.550284969874614,0.5133860948715331,0.5339647671955803,8.388596491228071,-0.2502699227380312
Everton,wind_gust_10m,team_match_high_press_shots_conceded,8.550284969874614,2.6123860677083335,2.5789473684210527,8.388596491228071,0.03774905321871774
Everton,wind_gust_10m,team_match_passing_ratio,8.550284969874614,0.6136391983608814,0.6849058593516892,8.388596491228071,0.11533303574063393
Everton,feels_like_temperature,team_match_directness,9.385539814362481,0.8533870051767677,0.8421409336842103,9.261403508771929,0.08267877029019742
Everton,feels_like_temperature,team_match_pace_towards_goal,9.385539814362481,2.711043596569112,3.235526522581276,9.261403508771929,-0.048663704219142984
Everton,feels_like_temperature,team_match_gk_pass_distance,9.385539814362481,43.0381615764974,48.6442197631579,9.261403508771929,0.0743945149623276
Everton,feels_like_temperature,team_match_gk_long_pass_ratio,9.385539814362481,0.3935310848294425,0.4450628187046133,9.261403508771929,-0.057895774888010704
Everton,feels_like_temperature,team_match_ball_in_play_time,9.385539814362481,53.375021955403646,54.42063368421053,9.261403508771929,-0.08320407499224919
Everton,feels_like_temperature,team_match_dribble_ratio,9.385539814362481,0.5133860948715331,0.5339647671955803,9.261403508771929,0.30774930383794274
Everton,feels_like_temperature,team_match_high_press_shots_conceded,9.385539814362481,2.6123860677083335,2.5789473684210527,9.261403508771929,-0.05120780720389142
Everton,feels_like_temperature,team_match_passing_ratio,9.385539814362481,0.6136391983608814,0.6849058593516892,9.261403508771929,-0.02375843054244423
Aston Villa,total_rainfall_amount_previous_hour,team_match_directness,0.11250610649731316,0.8533870051767677,0.8771655271052631,0.034210526315789476,0.10350471646800599
Aston Villa,total_rainfall_amount_previous_hour,team_match_pace_towards_goal,0.11250610649731316,2.711043596569112,2.594095515443657,0.034210526315789476,0.08073223592608778
Aston Villa,total_rainfall_amount_previous_hour,team_match_gk_pass_distance,0.11250610649731316,43.0381615764974,31.36817015789474,0.034210526315789476,-0.06813674884969542
Aston Villa,total_rainfall_amount_previous_hour,team_match_gk_long_pass_ratio,0.11250610649731316,0.3935310848294425,0.4927650577146751,0.034210526315789476,-0.12510785254676865
Aston Villa,total_rainfall_amount_previous_hour,team_match_ball_in_play_time,0.11250610649731316,53.375021955403646,55.91494234210527,0.034210526315789476,0.09233681966784617
Aston Villa,total_rainfall_amount_previous_hour,team_match_dribble_ratio,0.11250610649731316,0.5133860948715331,0.5430859433015812,0.034210526315789476,-0.02500437678182347
