team_name,feels_like_temperature__team_match_ball_in_play_time,feels_like_temperature__team_match_directness,feels_like_temperature__team_match_dribble_ratio,feels_like_temperature__team_match_gk_long_pass_ratio,feels_like_temperature__team_match_gk_pass_distance,feels_like_temperature__team_match_high_press_shots_conceded,feels_like_temperature__team_match_pace_towards_goal,feels_like_temperature__team_match_passing_ratio,total_rainfall_amount_previous_hour__team_match_ball_in_play_time,total_rainfall_amount_previous_hour__team_match_directness,total_rainfall_amount_previous_hour__team_match_dribble_ratio,total_rainfall_amount_previous_hour__team_match_gk_long_pass_ratio,total_rainfall_amount_previous_hour__team_match_gk_pass_distance,total_rainfall_amount_previous_hour__team_match_high_press_shots_conceded,total_rainfall_amount_previous_hour__team_match_pace_towards_goal,total_rainfall_amount_previous_hour__team_match_passing_ratio,wind_gust_10m__team_match_ball_in_play_time,wind_gust_10m__team_match_directness,wind_gust_10m__team_match_dribble_ratio,wind_gust_10m__team_match_gk_long_pass_ratio,wind_gust_10m__team_match_gk_pass_distance,wind_gust_10m__team_match_high_press_shots_conceded,wind_gust_10m__team_match_pace_towards_goal,wind_gust_10m__team_match_passing_ratio,wind_speed_10m__team_match_ball_in_play_time,wind_speed_10m__team_match_directness,wind_speed_10m__team_match_dribble_ratio,wind_speed_10m__team_match_gk_long_pass_ratio,wind_speed_10m__team_match_gk_pass_distance,wind_speed_10m__team_match_high_press_shots_conceded,wind_speed_10m__team_match_pace_towards_goal,wind_speed_10m__team_match_passing_ratio
Leicester City,-0.030083336618821295,-0.0844388421798531,-0.0030418507627162474,0.025483635293528515,-0.3115056368065929,-0.01066665714328848,-0.1210537252027801,-0.18472018317135178,0.028799265493703294,0.02954552716926536,0.09879528198805919,-0.006939456930805618,-0.1740389714204019,0.14334110557467475,-0.013830603282073252,-0.08933119399689085,0.09226480767464089,0.05901160492143572,0.2501670055649931,0.19352490163013977,-0.40001776092050917,-0.23333224846190295,-0.12375954805151052,-0.31855307769039387,-0.02114341487862093,0.03716811584679111,0.15167750285208412,0.16603225820791995,-0.2598775244586037,-0.18554718913783141,-0.08094767091571052,-0.2301063076919345
Leyton Orient,-0.10561264464757648,0.002918237528622785,-0.2073093790216306,0.12357344806642971,-0.0633056339360258,0.27119482592650734,-0.11764674000111666,-0.19922904557181803,0.10265165616604524,-0.0063171032279196945,0.08647457746813361,0.14152155156794555,-0.17411441177896836,-0.06433819143258941,-0.06620930947960035,-0.04901811303898499,-0.023640707483333204,0.001908529840359805,-0.06313702969206786,0.10086072690759905,-0.07278794076295665,0.15069648844994998,-0.041101230649124416,-0.028692271515582485,-0.07565875573604995,0.03878761442968276,0.005504829242022683,0.04605173087043444,-0.03613159383369729,0.15723991940187187,0.0026774797036058693,-0.056473258762909026
Lincoln City,0.36363357081013065,0.14676250828858117,-0.030960383588472744,0.2977066040094234,0.1802381521007281,0.26153085384230446,-0.033563280138231226,0.10941275025074136,0.026983703148053345,-0.04524069735729889,0.005199862764731493,-0.05143903829364899,0.1467780065898413,-0.008721998408531178,-0.0288148905469162,-0.0910953329023182,-0.32574758491745853,0.2298895453965459,-0.26265529017413647,0.11869730852197338,0.03167803957573026,-0.23027819241396688,0.03546596902631284,-0.11205740140350577,-0.3314714084233081,0.16756827545646924,-0.35816129521551154,0.06087546679624687,-0.01108310351787347,-0.14912649636567935,0.048545579180878685,-0.06814263140749056
Liverpool,0.25157488653328064,0.1967274273246269,-0.07944631873213247,0.10032851084971259,0.07628370361093026,0.17096613118121393,0.025928584811728536,0.2397872129339706,-0.0323945836227395,0.11613324661316872,0.2510862259235985,-0.054906866664130444,-0.09505223712656789,-0.03343892477690674,-0.02597111428784595,0.05296227310217826,-0.17963774207641148,-0.0898025803064275,0.05283520553970634,-0.12108362822780651,0.06077599429640399,-0.011021031251093234,0.02531023293927312,-0.0020533801417883836,-0.1603478145296712,-0.0754234419335618,0.02403960550198715,-0.06919624177842475,0.044467994895150444,0.0450041610152672,0.04280756219504453,-0.004222072005654576
Luton Town,-0.11169725465750813,-0.12004492113350913,-0.25803167624297974,0.04645871025840512,0.27221899330092647,-0.02610375599269189,0.28383332344337336,0.3108934011977484,0.030349542407706816,0.06687518777284832,-0.1065802214608437,0.10047552302969624,0.131186952560204,0.01809493629086036,0.1352215738828451,0.07819374856047989,0.03829372638546948,0.15284276169986283,-0.0623492953676773,0.13427474272143275,0.3082179787461995,0.26978482728166336,0.154996549925654,0.26934808544630234,-0.09109555112257396,0.08900092575726631,-0.024107692175871148,0.12837134369770573,0.31783349153335294,0.1993147631584457,0.0809789239684953,0.16717384148403264
Manchester City,0.059810380973979525,0.304738741809357,0.01786441791298051,-0.14596177836281968,0.11770900785649743,-0.3489571814959934,-0.2127763349853829,-0.1276344827174375,0.1753600658850225,0.03014876629181674,0.020057721591644553,0.09290537417089888,-0.15432094128066304,0.0866635133078538,0.1397491938396758,0.06000719529518311,0.12537092852264414,0.14155884278454378,0.04460521248719478,0.09469776871450684,-0.25548157424165274,-0.004007225951542518,-0.0295025923306511,-0.32840485670849956,-0.05196402867581618,0.11697480206943531,0.030047562393822825,-0.10052906902331982,-0.14708419674498358,0.08763583952466138,-0.12034643096691082,-0.22762505063025124
Manchester United,0.3056156381013187,0.016628739170313375,0.1351604210416194,-0.04117212715791054,-0.13646813851392245,-0.03634063235553285,-0.1223080875347621,0.0303514837678103,0.11121580192651094,-0.2803738531462689,0.14776696597274158,0.0327286794591807,-0.09455391130786987,-0.04041747870392958,-0.23154171554194622,-0.0703993308407611,0.06311447639945161,0.11965125664815299,-0.006643441564441191,0.02816197744396613,0.01266236749669875,0.1319836381414488,0.15646324833010658,0.08202137005669871,0.15642231330208806,0.05579070267726147,0.1678050766086012,0.06980259772313134,-0.04323165017400708,0.027545305723858382,0.09085509074601124,0.025767684323790806
Mansfield Town,-0.10464401488001987,0.13851781798306095,-0.13081158625691328,-0.02274906433342738,-0.22470467944941658,-0.13325902822299787,0.10981995557118178,-0.1132882988941387,-0.010707104105818066,-0.033123570243861214,0.07361597192499797,0.006994726227939921,0.10501383444281358,-0.11264096047208737,0.19445710791139667,-0.16319802287222368,-0.35976903764337015,-0.054300246592181106,-0.0025359534839416017,0.009608541357213568,-0.193433604310989,-0.051967905968678535,-0.02671266917456343,-0.2666679296479002,-0.36574548463120166,0.13949940275014572,0.004586010416195417,0.020507162908407983,-0.18464903260308416,-0.04821407011844805,0.004958435325559449,-0.23018625297706385
Middlesbrough,-0.02144852111598643,-0.16369233366315372,0.2965379635285961,0.10654515682609007,0.16086732452463576,-0.12196719101188172,0.055470557378115314,0.206817946208309,-0.07391638593500685,-0.051260304159299226,0.25046511669646804,0.09142073690192566,-0.028737480119728938,-0.10423643616247982,-0.2099279326877581,-0.06728986803579261,-0.15958972455844408,0.21436325545028845,0.11709007696919045,-0.02125209978705262,0.20006175748608873,-0.1339572319702724,0.08049655479779544,0.1808345219504062,-0.0694216161488798,0.20611680665994106,0.05392996510703606,-0.09201581418377244,0.0817401323576045,-0.20505852006149428,0.1002062289343215,0.16812415701363484
Millwall,-0.18500688720435177,-0.06353831848587935,0.10785005143095629,-0.17545606262923155,0.46088930878882145,0.010335389804901132,-0.22092444913658563,-0.14312990695321828,-0.14587873124756223,0.009626402807523738,0.04392166516352673,-0.05254706624177673,0.03105052367112523,-0.06975729748812579,-0.15557951972659909,-0.16673653139097547,-0.19811564650304878,0.10108679452658688,0.09771851801063647,0.028527747387985476,-0.10291851955328651,-0.04066585823308181,-0.005352412381001623,-0.23397772904399325,-0.2241848501323129,0.12432344209636689,0.11959452792000391,-0.05296634427437812,0.060978648242104534,-0.0532915944298506,0.018410224638491905,-0.26340437353758467
